date,inflation,unemployment
1954-01-01,0.338564780669514,3.6
1954-02-01,-0.6257135050019945,3.8
1954-03-01,0.6301994832830294,4.1
1954-04-01,0.5550303269166161,4.7
1954-05-01,-0.5578351047895306,4.6
1954-06-01,-1.0071508901256212,4.5
1954-07-01,-0.8634601677351738,4.6
1954-08-01,-1.010094872761477,5.1
1954-09-01,-1.0841622032289635,5.4
1954-10-01,-1.2331100940884212,4.7
1954-11-01,-0.6488024458131391,4.1
1954-12-01,-0.19708069559275945,3.8
1955-01-01,-0.12390079746900162,3.8
1955-02-01,0.5352320709882649,3.5
1955-03-01,-0.06815589445392393,3.5
1955-04-01,-0.43640470132267417,3.9
1955-05-01,-0.05813428389880926,3.2
1955-06-01,-0.7320562514689236,3.1
1955-07-01,0.48980495388367795,3.0
1955-08-01,0.2677094056132027,2.9
1955-09-01,0.8693811178061147,2.8
1955-10-01,1.2379066247402288,2.9
1955-11-01,0.5643320249505804,3.0
1955-12-01,1.0858508185823006,3.0
1956-01-01,0.3110898954485086,2.9
1956-02-01,0.8331399796365556,3.0
1956-03-01,1.1381893688601108,3.0
1956-04-01,2.122348657510793,2.9
1956-05-01,3.4787178846304827,3.1
1956-06-01,3.400873281723291,3.0
1956-07-01,3.4714197687507102,3.0
1956-08-01,4.379873301731316,2.8
1956-09-01,3.621850101161337,2.9
1956-10-01,3.605591120536419,2.8
1956-11-01,2.836383016482962,3.0
1956-12-01,3.6535277499813756,3.1
1957-01-01,3.7950391089539064,3.0
1957-02-01,3.0961463617794553,2.9
1957-03-01,3.604367049278043,2.6
1957-04-01,3.5136350723719136,3.0
1957-05-01,3.7999651049345524,2.9
1957-06-01,3.4855108785141726,3.1
1957-07-01,3.333791705922256,3.0
1957-08-01,2.8242763841985297,3.1
1957-09-01,2.962876862710559,3.4
1957-10-01,2.587288712086286,3.6
1957-11-01,3.243353250129933,3.9
1957-12-01,3.0173527391490977,4.2
1958-01-01,3.956292124576811,4.6
1958-02-01,4.447744019262328,5.1
1958-03-01,3.8009228532517105,5.5
1958-04-01,3.1674478616194133,6.0
1958-05-01,1.7953611585152085,6.1
1958-06-01,1.7209595534942548,6.2
1958-07-01,0.2907761435820937,6.3
1958-08-01,-0.20067575110342287,6.3
1958-09-01,0.0781606459100704,5.8
1958-10-01,0.4230036293426158,5.5
1958-11-01,0.8390933252572003,5.0
1958-12-01,0.4208276572016623,4.9
1959-01-01,0.42125174552813327,4.6
1959-02-01,0.490419898918901,4.5
1959-03-01,0.6304100514798362,4.1
1959-04-01,0.980251278789421,3.7
1959-05-01,0.9789029275085341,3.6
1959-06-01,1.2547151116208182,3.6
1959-07-01,1.9466003186477299,3.6
1959-08-01,2.574197539731679,3.6
1959-09-01,2.155370990157251,4.3
1959-10-01,2.0803214198625604,4.1
1959-11-01,1.5334245533860342,4.7
1959-12-01,1.6008599879665069,3.8
1960-01-01,1.1146982124025533,3.9
1960-02-01,1.3237983489995637,3.5
1960-03-01,1.5280511449267076,4.0
1960-04-01,1.3871304423045252,3.9
1960-05-01,1.2563389665839948,3.9
1960-06-01,1.3925597713952589,4.0
1960-07-01,1.3925597713952589,4.2
1960-08-01,1.4573032129039516,4.4
1960-09-01,1.4558534227460331,4.5
1960-10-01,1.385884575981743,4.7
1960-11-01,1.9890593178905671,4.8
1960-12-01,1.578402082169181,5.1
1961-01-01,1.578402082169181,5.2
1961-02-01,0.40782885385184836,5.3
1961-03-01,0.40741840063061857,5.3
1961-04-01,0.20482082935908044,5.4
1961-05-01,0.5465987212057386,5.7
1961-06-01,0.6807811643476408,5.2
1961-07-01,0.949954404514557,5.4
1961-08-01,1.1499186802514687,5.1
1961-09-01,0.9475261277034731,4.9
1961-10-01,1.148764700414707,4.7
1961-11-01,0.8056305498560224,4.5
1961-12-01,1.1435129686634968,4.4
1962-01-01,1.2772754734133798,4.1
1962-02-01,1.5443816940555937,3.9
1962-03-01,1.7440797849043221,4.0
1962-04-01,1.3455075506723377,4.0
1962-05-01,1.2107951627960365,4.0
1962-06-01,1.1401833176368215,4.0
1962-07-01,1.6858311132213284,3.9
1962-08-01,1.157633631284887,4.1
1962-09-01,0.9579355404361584,4.0
1962-10-01,1.1552692019569089,3.9
1962-11-01,1.4882609925834263,4.2
1962-12-01,1.3515278400312367,4.0
1963-01-01,0.6008638242686483,4.2
1963-02-01,0.6663583061217865,4.3
1963-03-01,0.8642778308605038,4.1
1963-04-01,1.5317477010579237,4.1
1963-05-01,1.6627164098277127,3.9
1963-06-01,1.7932352827502116,3.8
1963-07-01,1.4012374052257257,3.8
1963-08-01,1.7931991487793721,3.8
1963-09-01,1.7914519834462581,3.5
1963-10-01,1.7854919756410894,3.7
1963-11-01,1.6479884169010222,3.9
1963-12-01,1.0598567974519977,3.8
1964-01-01,1.4490866324394158,3.7
1964-02-01,1.317477941802315,3.6
1964-03-01,1.3162035033172934,3.6
1964-04-01,0.8494018228666401,3.5
1964-05-01,0.521230813677458,3.3
1964-06-01,0.9085794665248476,3.6
1964-07-01,0.9076948753931992,3.3
1964-08-01,1.1021687079719336,3.3
1964-09-01,1.4949664543176262,3.4
1964-10-01,1.558400976418259,3.6
1964-11-01,1.686808150041431,3.1
1964-12-01,1.492352379482595,3.1
1965-01-01,1.4909164032682174,3.1
1965-02-01,1.6843671937073819,3.2
1965-03-01,1.7453105386679446,3.1
1965-04-01,2.3321087053098295,3.2
1965-05-01,1.950266016752538,3.1
1965-06-01,1.7612618970093576,2.9
1965-07-01,2.017626219615512,2.8
1965-08-01,1.755691955854491,2.8
1965-09-01,1.7500620386692856,2.7
1965-10-01,1.5460698275230287,2.6
1965-11-01,1.924257545913476,2.5
1965-12-01,3.4121778848496405,2.5
1966-01-01,3.5972245667993,2.5
1966-02-01,4.038715127529155,2.4
1966-03-01,3.8346214395869764,2.3
1966-04-01,3.3800931070589315,2.2
1966-05-01,3.628274801976266,2.2
1966-06-01,3.6046799755587635,2.2
1966-07-01,3.5934202914246693,2.2
1966-08-01,3.582231038986695,2.2
1966-09-01,3.3268842442553725,2.1
1966-10-01,3.3854075194304585,2.0
1966-11-01,2.8267622862113675,2.1
1966-12-01,2.169609807934848,2.1
1967-01-01,1.5466275726575045,2.1
1967-02-01,1.5418439772467085,2.0
1967-03-01,1.358275364878578,2.1
1967-04-01,2.3627712245542356,2.2
1967-05-01,3.0944931240728955,2.1
1967-06-01,3.085086197753063,2.2
1967-07-01,3.69200104862408,2.1
1967-08-01,3.6808155908694915,2.1
1967-09-01,4.9072789385658595,2.1
1967-10-01,4.257476516535301,2.1
1967-11-01,4.24470088967329,2.1
1967-12-01,4.232002092996073,2.2
1968-01-01,4.219379435562336,2.1
1968-02-01,4.206832234690654,2.2
1968-03-01,3.5711504661995472,2.1
1968-04-01,4.168624483052579,1.9
1968-05-01,4.760770825948188,1.9
1968-06-01,4.74689147738036,2.1
1968-07-01,4.733093519423212,1.9
1968-08-01,5.316564072704345,2.0
1968-09-01,5.301266235972524,1.9
1968-10-01,5.269879631438169,1.9
1968-11-01,4.650447510076998,1.8
1968-12-01,4.637199757640369,1.7
1969-01-01,5.812126864601116,1.8
1969-02-01,5.778551997445041,1.8
1969-03-01,5.76245751873262,1.8
1969-04-01,5.729458516044936,1.8
1969-05-01,6.285248020186001,1.8
1969-06-01,6.267986854026964,1.8
1969-07-01,5.629482044435771,2.0
1969-08-01,5.597770467700911,1.9
1969-09-01,6.142964709857103,2.1
1969-10-01,6.108757795143952,2.2
1969-11-01,6.074929074965879,2.0
1969-12-01,6.609840316294282,2.1
1970-01-01,6.573640418048914,2.4
1970-02-01,6.537834776932758,2.6
1970-03-01,5.960217570223947,2.7
1970-04-01,5.928015489679203,2.9
1970-05-01,5.358329599366171,3.0
1970-06-01,4.793214218475465,3.2
1970-07-01,4.767567200497866,3.4
1970-08-01,4.742191718311407,3.5
1970-09-01,5.259282901581602,3.6
1970-10-01,5.231603593251333,3.9
1970-11-01,5.21828502455272,4.0
1970-12-01,4.696814239776604,4.2
1971-01-01,4.149965310648471,4.1
1971-02-01,3.6073632527988537,4.0
1971-03-01,3.5886350775797395,4.0
1971-04-01,3.5700990756194564,4.0
1971-05-01,3.5611727128619273,4.1
1971-06-01,4.060511943650366,4.0
1971-07-01,4.050386982714935,4.0
1971-08-01,4.040312767403802,4.2
1971-09-01,3.5106106650682154,4.1
1971-10-01,2.984911617285532,4.0
1971-11-01,2.977505686836576,4.1
1971-12-01,3.4753856869306,4.0
1972-01-01,2.9772899603674436,3.9
1972-02-01,2.9699931896832403,3.7
1972-03-01,2.9627322697297367,3.8
1972-04-01,2.955506936953172,3.8
1972-05-01,2.948316930376524,3.7
1972-06-01,2.4359127182001035,3.8
1972-07-01,3.416032252750631,3.6
1972-08-01,3.407785647393403,3.5
1972-09-01,3.8923886193110975,3.6
1972-10-01,3.8830770541090414,3.8
1972-11-01,4.3630065563843194,3.4
1972-12-01,5.338933146170326,3.2
1973-01-01,6.31747954289131,3.2
1973-02-01,7.272443150752673,3.1
1973-03-01,7.238201229887025,3.1
1973-04-01,8.179636565632725,3.0
1973-05-01,7.213714041416853,3.0
1973-06-01,9.755887229998153,3.0
1973-07-01,8.708163726857785,2.8
1973-08-01,9.130535241339595,2.9
1973-09-01,9.556267898210306,2.9
1973-10-01,9.965900311269268,2.7
1973-11-01,12.258743002366794,2.8
1973-12-01,10.522718108493676,2.9
1974-01-01,11.853293023906602,3.1
1974-02-01,11.294121472554757,3.1
1974-03-01,12.131741941620767,3.0
1974-04-01,12.025496567019056,3.2
1974-05-01,10.999229683883073,3.1
1974-06-01,11.336141281264268,3.2
1974-07-01,12.12714886755561,3.3
1974-08-01,12.479282242328352,3.5
1974-09-01,12.347247268526893,3.6
1974-10-01,12.24606493263856,3.9
1974-11-01,12.587962845502451,4.2
1974-12-01,11.168283533734856,4.8
1975-01-01,8.912321250464831,5.5
1975-02-01,8.034268853553826,5.7
1975-03-01,6.345522574003252,6.1
1975-04-01,6.294622899777585,6.4
1975-05-01,6.654443300123226,6.8
1975-06-01,6.226338862875584,6.5
1975-07-01,6.987201630600663,6.5
1975-08-01,7.346367507336038,6.2
1975-09-01,8.482098877591486,6.5
1975-10-01,8.029450039265589,6.3
1975-11-01,6.794985647592778,6.2
1975-12-01,6.4009448672232425,5.8
1976-01-01,5.22484249596413,5.5
1976-02-01,4.452788519723054,5.2
1976-03-01,4.0373006157333675,5.2
1976-04-01,4.01485484035739,5.2
1976-05-01,4.370570008163966,5.2
1976-06-01,5.09223649164375,5.5
1976-07-01,5.80871902573007,5.5
1976-08-01,6.520077795949298,5.4
1976-09-01,6.122658596404762,5.5
1976-10-01,6.089688616655494,5.4
1976-11-01,6.057071309262089,5.5
1976-12-01,7.13665431152473,5.4
1977-01-01,7.0992863967612365,5.2
1977-02-01,7.420210710675987,5.3
1977-03-01,7.395112950677479,5.0
1977-04-01,7.3570262112903455,4.9
1977-05-01,7.319333582454239,4.8
1977-06-01,6.170175714893804,4.6
1977-07-01,5.796318191805521,4.5
1977-08-01,5.408936987159859,4.4
1977-09-01,6.076013524822044,4.2
1977-10-01,6.045475604936076,4.3
1977-11-01,6.356680188001285,4.2
1977-12-01,6.3251379643868075,4.1
1978-01-01,6.973694792799775,4.0
1978-02-01,7.615654788271203,4.0
1978-03-01,8.247569878591582,4.0
1978-04-01,8.871881184067066,3.7
1978-05-01,9.146690122551108,3.7
1978-06-01,9.427407719155568,3.5
1978-07-01,10.027221678266145,3.6
1978-08-01,10.276495403218433,3.5
1978-09-01,9.53060588178571,3.6
1978-10-01,9.136965008012888,3.6
1978-11-01,9.387494956144272,3.4
1978-12-01,10.286921190555347,3.7
1979-01-01,10.511532811644116,3.6
1979-02-01,10.731668673520433,3.5
1979-03-01,11.912545036748972,3.5
1979-04-01,13.072239081813372,3.5
1979-05-01,13.572692903463588,3.3
1979-06-01,13.43227937480661,3.4
1979-07-01,13.294752097679329,3.6
1979-08-01,13.460199844738177,3.7
1979-09-01,13.303868007308376,3.7
1979-10-01,13.448521808961397,3.8
1979-11-01,14.189307022434383,3.8
1979-12-01,14.91990913129252,3.8
1980-01-01,15.926166697731226,4.2
1980-02-01,15.75474101848331,4.2
1980-03-01,15.587010929688324,4.5
1980-04-01,15.125450134372768,5.2
1980-05-01,12.272479620323464,5.7
1980-06-01,11.031874964162547,5.8
1980-07-01,9.786365016588395,6.0
1980-08-01,9.685691410686863,5.9
1980-09-01,9.850599594960855,5.8
1980-10-01,9.751519923511504,5.6
1980-11-01,11.456604360098531,5.5
1980-12-01,11.87468807553037,5.2
1981-01-01,11.527858128377654,5.5
1981-02-01,10.681934364482053,5.5
1981-03-01,9.825903623722013,5.4
1981-04-01,9.731483031050367,5.2
1981-05-01,10.131674433675908,5.5
1981-06-01,9.797440931029977,5.4
1981-07-01,10.442065310594193,5.1
1981-08-01,9.93371140250379,5.3
1981-09-01,9.412888805428521,5.4
1981-10-01,8.190046945180262,5.8
1981-11-01,6.489643742209021,6.1
1981-12-01,5.540360574613786,6.6
1982-01-01,3.4797832525868064,6.6
1982-02-01,3.4685057976830787,6.8
1982-03-01,4.588156425711986,7.1
1982-04-01,6.381584044568503,7.3
1982-05-01,6.7933276876445055,7.3
1982-06-01,6.561423260393066,7.8
1982-07-01,6.561423260393066,8.0
1982-08-01,6.754212532526956,8.1
1982-09-01,4.554830348045924,8.5
1982-10-01,1.508329903087087,8.7
1982-11-01,0.8617244560666849,9.0
1982-12-01,0.652249423098631,9.0
1983-01-01,0.8574803165813379,8.4
1983-02-01,1.5044318522306657,8.8
1983-03-01,2.5351585817192728,8.6
1983-04-01,3.544926985424097,8.6
1983-05-01,3.95375241058062,8.5
1983-06-01,4.359553101974741,8.0
1983-07-01,4.763702409932564,7.7
1983-08-01,4.093732086342301,7.7
1983-09-01,3.870818695842529,7.6
1983-10-01,4.066345448048803,7.3
1983-11-01,4.677779997246053,6.9
1983-12-01,5.07278533168608,6.6
1984-01-01,5.057697323682874,6.3
1984-02-01,5.037483631613981,6.1
1984-03-01,4.823776522811966,5.9
1984-04-01,4.611129974158123,5.9
1984-05-01,3.964847085521231,5.6
1984-06-01,3.5441920886266955,5.4
1984-07-01,3.533783209002246,5.4
1984-08-01,3.5198395792225643,5.5
1984-09-01,3.513066428803483,5.6
1984-10-01,3.5063194786591363,5.5
1984-11-01,3.1014098064198965,5.4
1984-12-01,3.687229127439361,5.5
1985-01-01,4.068802182212742,5.5
1985-02-01,3.6668663039490337,5.4
1985-03-01,3.6599666271583544,5.3
1985-04-01,3.844503299157283,5.5
1985-05-01,3.8373022996156814,5.2
1985-06-01,3.041109201481625,5.8
1985-07-01,2.450169191090345,5.5
1985-08-01,2.8270597255536334,5.4
1985-09-01,3.3947423613456884,5.3
1985-10-01,3.7672801797599167,5.2
1985-11-01,4.136808394472864,5.1
1985-12-01,3.4012431695832412,5.1
1986-01-01,1.9651482778186617,4.9
1986-02-01,0.4911791604173222,5.4
1986-03-01,0.10623174498820671,5.4
1986-04-01,-0.08576201193671373,5.3
1986-05-01,-0.6474771720579038,5.5
1986-06-01,-0.10356229241629518,5.4
1986-07-01,1.7027747862037768,5.5
1986-08-01,2.7887346712940757,5.1
1986-09-01,2.594922090647877,5.4
1986-10-01,2.585234611789884,5.4
1986-11-01,3.517375634139988,5.3
1986-12-01,4.06629315708672,5.3
1987-01-01,4.051348263141807,5.2
1987-02-01,4.597491517126476,5.1
1987-03-01,4.771120854569602,5.1
1987-04-01,4.9386802196032935,4.9
1987-05-01,4.3591894123214034,4.8
1987-06-01,4.5269867909466734,4.9
1987-07-01,4.510715676407487,4.7
1987-08-01,4.127972341121965,4.6
1987-09-01,4.296837226005533,4.4
1987-10-01,3.739967727362709,4.6
1987-11-01,3.9089452188064175,4.4
1987-12-01,3.3567780735679555,4.3
1988-01-01,3.1669821301326593,4.4
1988-02-01,3.87852374056958,4.2
1988-03-01,3.6886225939213007,4.2
1988-04-01,4.209946574325129,3.9
